City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
181,Port Augusta,AU,59.0,-32.5,137.77,Majestic Oasis Apartments
182,Bera,BD,78.76,24.08,89.62,Shahin Hotel
183,Jalu,LY,68.36,29.03,21.55,Jalu Hotel
184,Binga,ZW,80.44,-17.62,27.34,Lakeview Inn Binga
185,Orcopampa,PE,60.04,-15.27,-72.34,Hostal «Segura»
186,Nabire,ID,73.69,-3.37,135.48,Hotel Nusantara Nabire
187,Dafeng,CN,66.42,23.45,108.59,Shenglong Hotel
189,Baindur,IN,77.83,13.87,74.63,Sai Vishram Beach Resort
190,Tura,IN,73.56,25.52,90.22,Hotel RIKMAN Continental
191,Coihaique,CL,71.6,-45.58,-72.07,Diego De Almagro Coyhaique
192,Illapel,CL,77.34,-31.63,-71.17,Hotel Londres
199,Half Moon Bay,US,72.0,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
200,Paullo,IT,57.0,45.42,9.4,Motel Charlie
201,Mountain Home,US,62.6,43.13,-115.69,Mountain Home Inn
202,Veshenskaya,RU,53.82,49.63,41.73,Kazachiy Kuren Inn
203,Katsuura,JP,55.4,35.13,140.3,Katsuura Hotel Mikazuki
205,Namibe,AO,72.54,-15.2,12.15,Hotel Chik Chik Namibe
206,Jinxiang,CN,59.58,27.43,120.61,Wolong Village
208,Rampur Hat,IN,74.03,24.17,87.78,Amantran Hotel & Resorts
209,Naifaru,MV,82.51,5.44,73.37,Naifaru Residence Guest House
210,Labuhan,ID,79.3,-6.88,112.21,bador sepret
214,Fortuna,US,59.0,40.6,-124.16,Super 8 by Wyndham Fortuna
217,Cidreira,BR,65.35,-30.18,-50.21,Hotel Castelo
218,Puerto Escondido,MX,86.0,15.85,-97.07,Aldea del Bazar Hotel and Spa
219,Guerrero Negro,MX,81.81,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
220,Durango,MX,69.33,24.83,-104.83,
222,Bambous Virieux,MU,69.8,-20.34,57.76,Casa Tia Villa
226,Salalah,OM,78.8,17.02,54.09,HAMDAN PLAZA HOTEL
227,Kota,IN,70.2,25.18,75.83,Hotel Surya Royal
229,Jega,NG,84.96,12.22,4.38,Jega Guest Inn
230,Morondava,MG,79.16,-20.28,44.28,La Case Bambou
232,Geraldton,AU,64.4,-28.77,114.6,Broadwater Mariner Resort
234,Bukama,CD,73.13,-9.2,25.85,
236,Byron Bay,AU,71.6,-28.65,153.62,Backpackers Inn on the Beach
237,Walla Walla,US,64.0,46.06,-118.34,Holiday Inn Express Walla Walla
238,Nha Trang,VN,80.6,12.25,109.18,Hanoi Golden Hotel
239,Dunedin,NZ,61.0,-45.87,170.5,Scenic Hotel Southern Cross
240,Forst,DE,55.99,51.73,14.63,Hotel Haufe
241,Sambava,MG,71.73,-14.27,50.17,Melrose
243,Maceio,BR,80.6,-9.67,-35.74,Mercure Maceio Pajucara Hotel
244,Manokwari,ID,80.73,-0.87,134.08,Swiss Belhotel Manokwari
245,Codrington,AU,51.1,-38.27,141.97,Codrington Gardens Bed And Breakfast
247,Lima,PE,64.4,-12.04,-77.03,Gran Hotel Bolivar Lima
249,Tiznit,MA,72.99,29.58,-9.5,
250,Bacalar,MX,87.8,18.67,-88.38,Hotel Laguna Bacalar
252,Sao Filipe,CV,82.17,14.9,-24.5,Tortuga B&B
254,Harper,LR,78.26,4.38,-7.72,Screensaver
257,Ibipeba,BR,83.41,-11.64,-42.01,Quitanda santos
258,Royan,FR,55.4,45.63,-1.03,Hôtel Cordouan Thalassothérapie et Spa - Royan
259,Baculin,PH,78.46,7.45,126.58,Shovy's Cove
260,Saint George,US,73.99,37.1,-113.58,Best Western Plus Abbey Inn
261,Kasongo,CD,68.34,-4.45,26.67,Guest Hôtel
262,Piranshahr,IR,52.92,36.7,45.14,مسافر خانه سعدی
