City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Qandala,SO,11.47,49.87,82.87,61,29,4.63
141,Husavik,IS,66.04,-17.34,37.4,93,40,2.24
142,Chifeng,CN,42.27,118.96,46.69,53,100,8.46
143,Pisco,PE,-13.7,-76.22,69.8,68,75,11.41
144,Kattivakkam,IN,13.22,80.32,78.8,94,40,3.36
145,Liverpool,GB,53.41,-2.98,48.99,93,40,5.82
146,Hofn,IS,64.25,-15.21,39.2,86,90,3.36
147,Virginia Beach,US,36.85,-75.98,62.6,51,75,24.16
148,Santiago Del Estero,AR,-27.8,-64.26,79.16,18,0,10.0
149,Noumea,NC,-22.28,166.46,79.0,73,0,2.24
150,Estevan,CA,49.13,-102.98,44.6,75,75,20.8
151,Chuy,UY,-33.7,-53.46,59.23,73,43,10.47
152,Longyearbyen,SJ,78.22,15.64,17.6,72,0,4.7
153,Honiara,SB,-9.43,159.95,73.4,100,40,3.36
154,Yellowknife,CA,62.46,-114.35,19.4,85,75,9.17
155,Souillac,MU,-20.52,57.52,69.8,52,75,20.8
156,Drayton Valley,CA,53.22,-114.99,43.0,74,97,6.02
157,Bogorodskoye,RU,56.55,37.88,40.41,85,100,4.05
158,Camacha,PT,33.08,-16.33,69.8,73,40,6.93
159,Ilhabela,BR,-23.78,-45.36,68.23,88,100,12.41
160,Yar-Sale,RU,66.83,70.83,30.99,98,100,10.78
161,Oeiras,BR,-7.03,-42.13,98.04,25,95,2.91
162,Georgetown,MY,5.41,100.34,80.6,88,20,4.27
163,Banepa,NP,27.63,85.52,59.0,87,20,2.24
164,Buy,RU,58.48,41.53,38.28,86,100,4.36
165,Oistins,BB,13.07,-59.53,77.0,88,90,26.4
166,Bandarbeyla,SO,9.49,50.81,78.49,83,0,13.47
167,Broken Hill,AU,-31.95,141.43,51.8,87,66,18.34
168,Mehamn,NO,71.04,27.85,35.6,64,75,12.75
169,Qidong,CN,31.81,121.66,60.01,79,0,6.11
170,Moindou,NC,-21.69,165.68,73.4,73,0,2.24
171,Palmer,US,42.16,-72.33,35.01,91,90,12.75
172,Laguna,US,38.42,-121.42,75.99,32,1,3.36
173,Ponta Do Sol,PT,32.67,-17.1,69.8,77,20,16.11
174,Zhigansk,RU,66.77,123.37,-15.54,89,36,1.34
175,Turukhansk,RU,65.82,87.98,3.96,91,100,8.12
176,Sorland,NO,67.67,12.69,41.0,65,0,17.22
177,Ishinomaki,JP,38.42,141.3,46.78,81,0,10.58
178,Ilheus,BR,-14.79,-39.05,82.4,78,20,11.41
179,Tiksi,RU,71.69,128.87,9.41,95,100,5.26
180,Ugoofaaru,MV,5.67,73.0,82.49,73,24,6.98
181,Port Augusta,AU,-32.5,137.77,59.0,82,90,12.75
182,Bera,BD,24.08,89.62,78.76,76,82,8.34
183,Jalu,LY,29.03,21.55,68.36,61,51,11.83
184,Binga,ZW,-17.62,27.34,80.44,34,0,3.58
185,Orcopampa,PE,-15.27,-72.34,60.04,32,96,11.63
186,Nabire,ID,-3.37,135.48,73.69,88,100,3.96
187,Dafeng,CN,23.45,108.59,66.42,80,99,2.57
188,Kondinskoye,RU,59.65,67.41,29.3,98,72,9.17
189,Baindur,IN,13.87,74.63,77.83,74,50,3.78
190,Tura,IN,25.52,90.22,73.56,75,74,4.47
191,Coihaique,CL,-45.58,-72.07,71.6,35,0,3.36
192,Illapel,CL,-31.63,-71.17,77.34,26,0,9.06
193,Gimli,CA,50.63,-96.99,33.8,80,11,13.87
194,Lyngseidet,NO,69.58,20.22,26.6,86,0,14.99
195,Nizhniy Kuranakh,RU,58.84,125.49,7.32,94,96,2.19
196,Pevek,RU,69.7,170.31,22.17,95,90,7.09
197,Kachug,RU,53.96,105.88,21.99,92,100,1.01
198,Sisimiut,GL,66.94,-53.67,21.67,91,98,6.67
199,Half Moon Bay,US,37.46,-122.43,72.0,72,5,3.36
200,Paullo,IT,45.42,9.4,57.0,100,17,1.12
201,Mountain Home,US,43.13,-115.69,62.6,20,1,12.75
202,Veshenskaya,RU,49.63,41.73,53.82,91,100,7.31
203,Katsuura,JP,35.13,140.3,55.4,50,0,13.87
204,Yumen,CN,40.28,97.2,31.3,85,0,10.29
205,Namibe,AO,-15.2,12.15,72.54,77,17,6.33
206,Jinxiang,CN,27.43,120.61,59.58,78,2,9.95
207,La Ronge,CA,55.1,-105.28,24.8,79,90,16.11
208,Rampur Hat,IN,24.17,87.78,74.03,63,82,6.29
209,Naifaru,MV,5.44,73.37,82.51,73,62,8.03
210,Labuhan,ID,-6.88,112.21,79.3,79,100,8.23
211,Luderitz,NA,-26.65,15.16,61.05,54,100,28.72
212,Poronaysk,RU,49.22,143.12,33.24,92,20,4.14
213,Puerto Gaitan,CO,4.31,-72.08,92.37,52,6,9.24
214,Fortuna,US,40.6,-124.16,59.0,62,1,10.29
215,Klyuchi,RU,52.27,79.17,33.62,94,99,5.79
216,Leningradskiy,RU,69.38,178.42,18.01,93,44,20.94
217,Cidreira,BR,-30.18,-50.21,65.35,63,62,8.75
218,Puerto Escondido,MX,15.85,-97.07,86.0,58,75,3.36
219,Guerrero Negro,MX,27.98,-114.06,81.81,24,10,7.63
220,Durango,MX,24.83,-104.83,69.33,27,13,7.16
221,Tromso,NO,69.65,18.96,26.6,86,0,14.99
222,Bambous Virieux,MU,-20.34,57.76,69.8,52,75,20.8
223,Mastic Beach,US,40.77,-72.85,39.2,86,90,13.87
224,Dikson,RU,73.51,80.55,13.06,96,100,28.81
225,East Angus,CA,45.48,-71.67,35.6,43,20,6.93
226,Salalah,OM,17.02,54.09,78.8,61,0,5.82
227,Kota,IN,25.18,75.83,70.2,24,0,2.42
228,Deputatskiy,RU,69.3,139.9,2.7,95,100,1.12
229,Jega,NG,12.22,4.38,84.96,22,23,6.29
230,Morondava,MG,-20.28,44.28,79.16,78,0,13.96
231,Carbonear,CA,47.73,-53.21,35.01,59,75,12.75
232,Geraldton,AU,-28.77,114.6,64.4,93,0,5.82
233,Uvat,RU,59.14,68.9,31.15,98,94,8.32
234,Bukama,CD,-9.2,25.85,73.13,82,7,2.37
235,Bonnyville,CA,54.27,-110.73,28.4,86,90,10.29
236,Byron Bay,AU,-28.65,153.62,71.6,83,76,11.41
237,Walla Walla,US,46.06,-118.34,64.0,58,90,19.46
238,Nha Trang,VN,12.25,109.18,80.6,88,40,4.7
239,Dunedin,NZ,-45.87,170.5,61.0,69,100,2.3
240,Forst,DE,51.73,14.63,55.99,96,100,5.01
241,Sambava,MG,-14.27,50.17,71.73,79,14,13.82
242,Provideniya,RU,64.38,-173.3,23.79,93,98,7.0
243,Maceio,BR,-9.67,-35.74,80.6,78,40,14.99
244,Manokwari,ID,-0.87,134.08,80.73,70,100,6.02
245,Codrington,AU,-38.27,141.97,51.1,92,5,9.33
246,Qaanaaq,GL,77.48,-69.36,14.02,83,99,5.79
247,Lima,PE,-12.04,-77.03,64.4,77,90,6.93
248,Zyryanka,RU,65.75,150.85,2.57,94,97,0.54
249,Tiznit,MA,29.58,-9.5,72.99,24,0,3.91
250,Bacalar,MX,18.67,-88.38,87.8,70,75,4.34
251,Henties Bay,NA,-22.12,14.28,57.0,83,95,6.82
252,Sao Filipe,CV,14.9,-24.5,82.17,58,66,15.52
253,Saint Anthony,US,45.02,-93.22,45.0,45,20,5.82
254,Harper,LR,4.38,-7.72,78.26,89,100,8.08
255,Dagana,MR,16.52,-15.51,93.51,12,3,11.03
